trick,trick BF,trick MF2,trick dict,trick dict BF,trick dict MF2,trick matrix BF
3.736148260959919e-14,0.0,9.611161319218166e-31,3.736148260959919e-14,0.0,9.611161319218166e-31,0.0
8.620903032156556e-14,0.0,4.9449489463263356e-30,8.74714873437298e-14,0.0,4.9449489463263356e-30,0.0
1.190984099641651e-12,0.0,2.6746178569456904e-28,1.040913091381811e-12,0.0,2.6746178569456904e-28,0.0
3.809913040828041e-10,0.0,1.0567257896743562e-25,3.6083784382526056e-10,0.0,1.0567257896743562e-25,0.0
1.2180403120837376e-8,0.0,3.534511761606257e-24,5.4363134420699895e-9,0.0,3.534511761606257e-24,0.0
7.26869350445043e-7,0.0,2.4066245000153518e-22,2.62660233944973e-7,0.0,2.4066245000153518e-22,0.0
0.0014734794064449953,0.0,2.8260112918587404e-19,0.0008217523998904867,0.0,2.8260112918587404e-19,0.0
10.99835,0.0,2.1684713099990224e-14,9.614381819155263,0.0,2.1684713099990224e-14,0.0
3.044670915212733,0.0,2.571325261609246e-13,1.8820842394239423,0.0,2.571325261609246e-13,0.0
3.4020249311685578,0.0,3.2432253268950213e-12,3.8148878581481664,0.0,3.2432253268950213e-12,0.0
71.87805909090909,0.0,3.205019412361069e-11,2.817772727272727,5.277536044901475e-69,5.486874916358285e-11,5.277536044901475e-69
3.1982638362956592,0.0,1.4303759918567376e-10,11.765454545454544,1.834998304709847e-68,1.8672461320163155e-10,1.834998304709847e-68
2.599990933863277,0.0,4.150499141019163e-10,2.3811067309096194,7.062402956779092e-68,4.3616780720221825e-10,7.062402956779092e-68
1.9652851112977978,0.0,1.82038447237797e-9,5.057367728003732,2.3068893395453755e-67,9.320462257880628e-10,2.3068893395453755e-67
2.8102062618856034,0.0,2.0501846982646116e-8,3.666995138576023,1.8212434103070086e-66,8.747360300070978e-9,1.8212434103070086e-66
