trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.001502542,0.00073425,0.00158925,0.00109025,0.000740666,0.001069417
0.001516584,0.000616583,0.000625667,0.000765,0.001509917,0.001273334
0.0021415,0.000506916,0.001132916,0.001081083,0.002131042,0.000503
0.003563833,0.00051525,0.001198,0.001267917,0.002038958,0.000501208
0.073654791,0.066927166,0.062283292,0.060890042,0.0763175,0.067195667
0.014334458,0.001089208,0.002538125,0.005283209,0.026954375,0.000847541
0.033481083,0.020579958,0.004765417,0.00834425,0.015475125,0.001509584
0.084827042,0.014560542,0.009952792,0.033411458,0.03062475,0.002236834
0.170450959,0.017237583,0.061905583,0.061858458,0.078483708,0.003784542
0.367586417,0.025922584,0.057835166,0.092175958,0.144837542,0.007416708
0.764908708,0.041225459,0.122346167,0.177614542,0.314028292,0.0516075
1.606055416,0.096164541,0.247295833,0.394719709,0.704022834,0.051445084
3.503928375,0.19913275,0.561263125,0.85466425,1.385322542,0.158461125
7.217518459,0.3886735,1.172486792,1.768116542,3.056460125,0.272431166
15.407743292,0.76524,2.416822667,3.793495,6.320981375,0.523456166
32.261490791,1.61969075,5.129766208,7.877348416,12.809776917,0.990400292
66.445449416,3.550912375,11.153754,16.764231417,27.150960583,2.411939375
136.804040917,6.644228084,22.490872084,32.945767375,53.963753083,3.883950416
