Pjoint diff,Matlab Sam,Matlab Alisa,Matlab Alisa hp,C++,Fortran,exp-sum-log,prod,prod Fl32,exp-sum-log Fl32,time
Matlab Sam,0.0,4.38438336557357e-22,8.12616614207743e-16,7.460730926124531e-16,7.460730926124531e-16,7.560618797697317e-16,5.856426454897701e-16,1.7702579531597705e-7,8.940696036296992e-9,1.0216075
Matlab Alisa,4.38438336557357e-22,0.0,8.126166215952899e-16,7.460730999999999e-16,7.460730999999999e-16,7.5606188715727855e-16,5.856426429068616e-16,1.7702579531597705e-7,8.940696036296996e-9,0.0
Matlab Alisa hp,8.12616614207743e-16,8.126166215952899e-16,0.0,6.654352159528999e-17,6.654352159528999e-17,5.655473443801139e-17,1.1556755288169164e-15,1.7702579612859367e-7,8.94069606699318e-9,0.0
C++,7.460730926124531e-16,7.460730999999999e-16,6.654352159528999e-17,0.0,0.0,2.6645038873151694e-17,1.0891320072216264e-15,1.7702579606205015e-7,8.940696105685596e-9,3.645
Fortran,7.460730926124531e-16,7.460730999999999e-16,6.654352159528999e-17,0.0,0.0,2.6645038873151694e-17,1.0891320072216264e-15,1.7702579606205015e-7,8.940696105685596e-9,3.645
exp-sum-log,7.560618797697317e-16,7.5606188715727855e-16,5.655473443801139e-17,2.6645038873151694e-17,2.6645038873151694e-17,0.0,1.099120794378905e-15,1.7702579607203892e-7,8.94069608348147e-9,0.370818667
prod,5.856426454897701e-16,5.856426429068616e-16,1.1556755288169164e-15,1.0891320072216264e-15,1.0891320072216264e-15,1.099120794378905e-15,0.0,1.7702579497291814e-7,8.940696621939639e-9,0.103738666
prod Fl32,1.7702579531597705e-7,1.7702579531597705e-7,1.7702579612859367e-7,1.7702579606205015e-7,1.7702579606205015e-7,1.7702579607203892e-7,1.7702579497291814e-7,0.0,1.823902130126953e-7,0.771212292
exp-sum-log Fl32,8.940696036296992e-9,8.940696036296996e-9,8.94069606699318e-9,8.940696105685596e-9,8.940696105685596e-9,8.94069608348147e-9,8.940696621939639e-9,1.823902130126953e-7,0.0,0.295981666
